Neutrino Energy (eV)	Electron type neutrino	electron antineutrino type	"mu, tau, anti mu, anti tau"
0	0	0	0
250000	4.37743	2.05538	15.5021
375000	9.74182	4.56388	34.3455
500000	16.9733	8.50979	59.7624
625000	26.2064	13.0548	91.9915
750000	41.0024	18.5221	126.54
875000	49.2752	27.2276	173.037
1.00E+06	69.1637	34.6658	217.219
1.13E+06	79.631	46.0882	274.421
1.25E+06	98.3524	57.9974	330.021
1.38E+06	120.618	72.0042	386.685
1.50E+06	135.241	85.9285	457.344
1.63E+06	153.81	101.615	528.137
1.75E+06	180.108	106.356	607.57
1.88E+06	204.579	148.293	656.643
2.00E+06	223.727	133.423	772.455
2.13E+06	244.569	125.654	883.692
2.25E+06	271.417	200.377	910.256
2.38E+06	300.299	195.392	1017.95
2.50E+06	326.236	221.428	1100.65
2.63E+06	349.363	255.683	1180.66
2.75E+06	373.342	288.04	1264.1
2.88E+06	400.656	322.683	1343.96
3.00E+06	430.361	329.703	1450.77
3.13E+06	459.578	334.697	1561.48
3.25E+06	486.511	369.005	1646.27
3.38E+06	511.846	432.229	1704.52
3.50E+06	537.668	457.706	1800.56
3.63E+06	565.283	482.605	1895.63
3.75E+06	594.208	507.595	1989.28
3.88E+06	622.87	532.625	2082.88
4.00E+06	650.072	557.641	2177.46
4.13E+06	675.829	582.707	2272.7
4.25E+06	701.062	606.484	2368.81
4.38E+06	726.714	630.908	2462.7
4.50E+06	753.042	655.399	2554.5
4.63E+06	779.559	678.24	2646.24
4.75E+06	805.432	704.407	2733.58
4.88E+06	830.153	727.107	2823.68
5.00E+06	853.738	750.737	2911.97
5.13E+06	876.723	772.044	3001.01
5.25E+06	899.611	795.577	3085.64
5.38E+06	922.573	818.318	3168.56
5.50E+06	945.322	840.164	3250.06
5.63E+06	967.38	861.606	3330.02
5.75E+06	988.386	882.259	3409.09
5.88E+06	1008.37	901.939	3487.33
6.00E+06	1027.66	922.889	3562.09
6.13E+06	1046.6	941.518	3636.56
6.25E+06	1065.32	961.728	3706.63
6.38E+06	1083.6	980.046	3775.93
6.50E+06	1101.13	998.72	3842.48
6.63E+06	1117.69	1015.75	3908.47
6.75E+06	1133.32	1032.45	3972.5
6.88E+06	1148.26	1047.14	4035.97
7.00E+06	1162.43	1063.3	4095.48
7.13E+06	1174.66	1079.62	4153.48
7.25E+06	1180.81	1095.28	4214.9
7.38E+06	1171.07	1109.97	4289.88
